ریسپی_آئی_ڈی,قدم_نمبر,ہدایت,تخمینہ_وقت_منٹ
RCP۰۰۰۷۱,۱,چکن بریانی کے لیے باسمتی چاول، چکن، دہی اور تمام تازہ اجزاء تیار کریں۔,۱۰
RCP۰۰۰۷۱,۲,باسمتی چاولوں کو ثابت مصالحوں کے ساتھ ۷۰ فیصد تک ابالیں اور پانی نتھار لیں۔,۱۰
RCP۰۰۰۷۱,۳,تیل میں پیاز، ادرک اور لہسن کا پیسٹ سنہری ہونے تک بھونیں۔,۱۰
RCP۰۰۰۷۱,۴,چکن، ٹماٹر، دہی اور بریانی مصالحہ شامل کریں اور چکن بریانی کے لیے اچھی طرح پکائیں۔,۲۰
RCP۰۰۰۷۱,۵,چکن گریوی پر ابلے ہوئے چاولوں کی تہہ لگائیں، اچھی طرح ڈھانپیں اور ۱۵ منٹ کے لیے ہلکی آنچ پر دم دیں۔,۱۵
RCP۰۰۰۷۰,۱,سبزی شوربہ کے لیے تمام تازہ سبزیاں اور اجزاء تیار کریں۔,۵
RCP۰۰۰۷۰,۲,درمیانی آنچ پر پتیلی میں تیل گرم کریں۔,۵
RCP۰۰۰۷۰,۳,پیاز، ادرک اور لہسن کا پیسٹ خوشبو آنے اور سنہری ہونے تک بھونیں۔,۱۰
RCP۰۰۰۷۰,۴,کٹی ہوئی سبزیاں، ٹماٹر، مصالحے اور پانی شامل کر کے سبزی شوربہ کے لیے اچھی طرح پکائیں۔,۱۵
RCP۰۰۰۷۰,۵,ہلکی آنچ پر پکائیں جب تک سبزیاں نرم ہو جائیں اور شوربہ تیار ہو جائے، پھر گرم گرم پیش کریں۔,۱۰
RCP۰۰۰۰۱,۱,چکن کڑاہی کے لیے تمام تازہ اجزاء تیار کریں۔,۵
RCP۰۰۰۰۱,۲,درمیانی آنچ پر کڑاہی یا ہانڈی میں تیل/مکھن گرم کریں۔,۵
RCP۰۰۰۰۱,۳,پیاز، ادرک اور لہسن کا پیسٹ خوشبو آنے اور سنہری ہونے تک بھونیں۔,۱۰
RCP۰۰۰۰۱,۴,بنیادی اجزاء اور مصالحے شامل کریں، اور چکن کڑاہی کے لیے اچھی طرح پکائیں۔,۱۰
RCP۰۰۰۰۱,۵,ہلکی آنچ پر دم پر رکھیں جب تک یہ مکمل پک نہ جائے، پھر تازہ ہرا دھنیا یا ہری مرچیں چھڑک کر گرم گرم پیش کریں۔,۵
RCP۰۰۰۰۲,۱,چکن ہانڈی کے لیے تمام تازہ اجزاء تیار کریں۔,۵
RCP۰۰۰۰۲,۲,درمیانی آنچ پر کڑاہی یا ہانڈی میں تیل/مکھن گرم کریں۔,۵
RCP۰۰۰۰۲,۳,پیاز، ادرک اور لہسن کا پیسٹ خوشبو آنے اور سنہری ہونے تک بھونیں۔,۱۰
RCP۰۰۰۰۲,۴,بنیادی اجزاء اور مصالحے شامل کریں، اور چکن ہانڈی کے لیے اچھی طرح پکائیں۔,۱۰
RCP۰۰۰۰۲,۵,ہلکی آنچ پر دم پر رکھیں جب تک یہ مکمل پک نہ جائے، پھر تازہ ہرا دھنیا یا ہری مرچیں چھڑک کر گرم گرم پیش کریں۔,۵
RCP۰۰۰۰۳,۱,چکن پلاؤ کے لیے تمام تازہ اجزاء، باسمتی چاول اور مصالحے تیار کریں۔,۵
RCP۰۰۰۰۳,۲,درمیانی آنچ پر دیگچی میں تیل/مکھن گرم کریں۔,۵
RCP۰۰۰۰۳,۳,پیاز، ادرک اور لہسن کا پیسٹ خوشبو آنے اور سنہری ہونے تک بھونیں۔,۱۰
RCP۰۰۰۰۳,۴,بنیادی اجزاء، مصالحے، دھلے ہوئے باسمتی چاول اور پانی شامل کر کے چکن پلاؤ کے لیے اچھی طرح پکائیں۔,۱۵
RCP۰۰۰۰۳,۵,برتن کو اچھی طرح ڈھانپ کر ہلکی آنچ پر دم دیں جب تک چاول نرم اور کھلے کھلے ہو جائیں، پھر گرم گرم پیش کریں۔,۱۰
RCP۰۰۰۰۴,۱,چکن پالک کے لیے تمام تازہ اجزاء تیار کریں۔,۵
RCP۰۰۰۰۴,۲,درمیانی آنچ پر کڑاہی یا ہانڈی میں تیل/مکھن گرم کریں۔,۵
RCP۰۰۰۰۴,۳,پیاز، ادرک اور لہسن کا پیسٹ خوشبو آنے اور سنہری ہونے تک بھونیں۔,۱۰
RCP۰۰۰۰۴,۴,بنیادی اجزاء اور مصالحے شامل کریں، اور چکن پالک کے لیے اچھی طرح پکائیں۔,۱۰
RCP۰۰۰۰۴,۵,ہلکی آنچ پر دم پر رکھیں جب تک یہ مکمل پک نہ جائے، پھر تازہ ہرا دھنیا یا ہری مرچیں چھڑک کر گرم گرم پیش کریں۔,۵
RCP۰۰۰۰۵,۱,آلو چکن کے لیے تمام تازہ اجزاء تیار کریں۔,۵
RCP۰۰۰۰۵,۲,درمیانی آنچ پر کڑاہی یا ہانڈی میں تیل/مکھن گرم کریں۔,۵
RCP۰۰۰۰۵,۳,پیاز، ادرک اور لہسن کا پیسٹ خوشبو آنے اور سنہری ہونے تک بھونیں۔,۱۰
RCP۰۰۰۰۵,۴,بنیادی اجزاء اور مصالحے شامل کریں، اور آلو چکن کے لیے اچھی طرح پکائیں۔,۱۰
RCP۰۰۰۰۵,۵,ہلکی آنچ پر دم پر رکھیں جب تک یہ مکمل پک نہ جائے، پھر تازہ ہرا دھنیا یا ہری مرچیں چھڑک کر گرم گرم پیش کریں۔,۵
