رسیپی_آئی_ڈی,قدم_نمبر,ہدایت
RCP00001,1,کڑاہی میں تیل گرم کریں اور مرغی کو ہلکا سنہری ہونے تک تلیں
RCP00001,2,ادرک اور لہسن شامل کریں اور 1 منٹ تک پکائیں
RCP00001,3,کٹے ہوئے ٹماٹر، نمک، سرخ مرچ، زیرہ اور دھنیا پاؤڈر شامل کریں
RCP00001,4,ڈھانپ کر ٹماٹر نرم ہونے تک پکائیں
RCP00001,5,دہی شامل کریں اور تیل الگ ہونے تک پکائیں
RCP00001,6,ہری مرچیں اور تازہ ہرا دھنیا شامل کریں
RCP00001,7,مزید 3 سے 4 منٹ پکائیں اور گرم گرم پیش کریں
RCP00002,1,تیل گرم کریں اور پیاز کو سنہری ہونے تک تلیں
RCP00002,2,ادرک لہسن کا پیسٹ اور مرغی شامل کریں
RCP00002,3,مرغی کا رنگ تبدیل ہونے تک پکائیں
RCP00002,4,ٹماٹر، مصالحے اور نمک شامل کریں
RCP00002,5,ٹماٹر نرم ہونے تک پکائیں
RCP00002,6,دہی شامل کریں اور تیل الگ ہونے تک پکائیں
RCP00002,7,کریم شامل کریں اور 5 منٹ تک ہلکی آنچ پر پکائیں
RCP00002,8,ہرے دھنیے سے سجا کر پیش کریں
RCP00003,1,چاول دھو کر 30 منٹ کے لیے بھگو دیں
RCP00003,2,باریک کٹی پیاز سنہری تل لیں اور کچھ سجاوٹ کے لیے الگ کر لیں
RCP00003,3,ادرک لہسن کا پیسٹ اور مرغی شامل کریں
RCP00003,4,ٹماٹر، دہی، آلو اور بریانی مصالحہ شامل کریں
RCP00003,5,مرغی گلنے اور تیل الگ ہونے تک پکائیں
RCP00003,6,چاول الگ سے تقریباً 80 فیصد تک ابال لیں
RCP00003,7,مرغی کے مصالحے پر چاولوں کی تہہ لگائیں
RCP00003,8,پودینہ، ہرا دھنیا اور تلی ہوئی پیاز شامل کریں
RCP00003,9,ڈھانپ کر ہلکی آنچ پر 15 سے 20 منٹ کے لیے دم دیں
RCP00004,1,پیاز کو سنہری تل کر پیس لیں
RCP00004,2,تیل گرم کریں اور ادرک لہسن کا پیسٹ پکائیں
RCP00004,3,مرغی شامل کریں اور سنہری ہونے تک تلیں
RCP00004,4,مصالحے اور نمک شامل کریں
RCP00004,5,چمچ چلاتے ہوئے آہستہ آہستہ دہی شامل کریں
RCP00004,6,تلی ہوئی پیاز کا پیسٹ اور ڈرائی فروٹ کا پیسٹ شامل کریں
RCP00004,7,پانی شامل کریں اور مرغی گلنے تک ہلکی آنچ پر پکائیں
RCP00004,8,گرم مصالحہ چھڑک کر پیش کریں
RCP00005,1,مرغی اور سبزیوں کو لمبائی میں کاٹ لیں
RCP00005,2,تیل گرم کریں اور ادرک لہسن کے پیسٹ کے ساتھ مرغی پکائیں
RCP00005,3,ٹماٹر اور مصالحے شامل کریں
RCP00005,4,پیاز، شملہ مرچ اور گاجر شامل کریں
RCP00005,5,تیز آنچ پر فرائی کریں
RCP00005,6,سویا ساس اور کالی مرچ شامل کریں
RCP00005,7,3 سے 4 منٹ پکائیں تاکہ سبزیاں کرنچی رہیں
RCP00005,8,گرم گرم پیش کریں
RCP00006,1,مرغی کو ادرک لہسن کے پیسٹ کے ساتھ ہلکا سنہری ہونے تک پکائیں
RCP00006,2,ٹماٹر کی پیوری اور مصالحے شامل کریں
RCP00006,3,ٹماٹر کی ساس گاڑھی ہونے تک پکائیں
RCP00006,4,دہی شامل کریں اور اچھی طرح ملائیں
RCP00006,5,مکھن شامل کریں اور ہلکی آنچ پر پکائیں
RCP00006,6,کریم اور چینی شامل کریں
RCP00006,7,مزید 5 منٹ پکائیں
RCP00006,8,کریم اور ہرے دھنیے سے سجا کر پیش کریں
RCP00007,1,پالک کو ابال کر پیسٹ (پیوری) بنا لیں
RCP00007,2,تیل گرم کریں اور پیاز تل لیں
RCP00007,3,ادرک لہسن کا پیسٹ اور مرغی شامل کریں
RCP00007,4,ٹماٹر اور مصالحے شامل کریں
RCP00007,5,مرغی گلنے تک پکائیں
RCP00007,6,پالک کی پیوری شامل کریں
RCP00007,7,10 منٹ کے لیے ہلکی آنچ پر پکائیں
RCP00007,8,ہری مرچ شامل کریں اور پیش کریں
RCP00008,1,دہی، لیموں کا رس، ادرک لہسن کا پیسٹ اور مصالحے مکس کریں
RCP00008,2,مرغی کو کم از کم 2 گھنٹے کے لیے میرینیٹ کریں
RCP00008,3,مرغی کے ٹکڑوں کو سیخوں پر لگائیں
RCP00008,4,مکمل گلنے تک گرل یا بیک کریں
RCP00008,5,گرل کرتے وقت تیل لگائیں
RCP00008,6,پودینے کی چٹنی اور سلاد کے ساتھ پیش کریں
RCP00009,1,پیاز کو سنہری ہونے تک تلیں
RCP00009,2,ثابت گرم مصالحے اور ادرک لہسن کا پیسٹ شامل کریں
RCP00009,3,مرغی شامل کریں اور بھون لیں
RCP00009,4,دہی اور نمک شامل کریں
RCP00009,5,پانی شامل کریں اور مرغی پکائیں
RCP00009,6,بھیگے ہوئے چاول شامل کریں
RCP00009,7,پانی خشک ہونے تک پکائیں
RCP00009,8,ڈھانپ کر 15 منٹ کے لیے دم دیں
RCP00010,1,مرغی کو ثابت مصالحوں، ادرک اور لہسن کے ساتھ ابالیں
RCP00010,2,چھان کر یخنی الگ رکھ لیں
RCP00010,3,باریک کٹی پیاز سنہری ہونے تک تلیں
RCP00010,4,چاول شامل کریں اور 2 منٹ بھونیں
RCP00010,5,مرغی اور یخنی شامل کریں
RCP00010,6,چاول پانی جذب کرنے تک پکائیں
RCP00010,7,ڈھانپ کر 15 منٹ کے لیے دم دیں
RCP00010,8,گرم گرم پیش کریں
RCP00011,1,پیاز کو زیرہ اور ثابت مصالحوں کے ساتھ تلیں
RCP00011,2,گاجر، آلو، مکئی اور مٹر شامل کریں
RCP00011,3,سبزیوں کو 5 منٹ تک پکائیں
RCP00011,4,بھیگے ہوئے چاول شامل کریں
RCP00011,5,پانی اور نمک شامل کریں
RCP00011,6,پانی خشک ہونے تک پکائیں
RCP00011,7,ڈھانپ کر 15 منٹ کے لیے دم دیں
RCP00012,1,پیاز سنہری ہونے تک تلیں
RCP00012,2,مرغی، ادرک لہسن کا پیسٹ اور مصالحے شامل کریں
RCP00012,3,ٹماٹر، دہی اور آلو شامل کریں
RCP00012,4,مرغی گلنے تک پکائیں
RCP00012,5,چاول الگ سے 80 فیصد تک ابال لیں
RCP00012,6,چاول اور مرغی کے مصالحے کی تہہ لگائیں
RCP00012,7,پودینہ، ہرا دھنیا اور ہری مرچیں شامل کریں
RCP00012,8,20 منٹ کے لیے دم دیں
RCP00013,1,چاول دھو کر بھگو دیں
RCP00013,2,مکھن اور تیل گرم کریں
RCP00013,3,زیرہ شامل کریں
RCP00013,4,چاول اور نمک شامل کریں
RCP00013,5,پانی شامل کریں اور چاول گلنے تک پکائیں
RCP00013,6,ڈھانپ کر 10 منٹ کے لیے دم دیں
RCP00014,1,پیاز کو سنہری ہونے تک تلیں
RCP00014,2,ٹماٹر اور مصالحے شامل کریں
RCP00014,3,سبزیاں شامل کریں اور پکائیں
RCP00014,4,پکے ہوئے چاول شامل کریں
RCP00014,5,ہلکے ہاتھ سے مکس کریں
RCP00014,6,5 منٹ پکائیں اور پیش کریں
RCP00015,1,پیاز کو سنہری ہونے تک تلیں
RCP00015,2,ٹماٹر اور مصالحے شامل کریں
