recipe_id,step_number,instruction
RCP00001,1,Heat oil in a karahi and fry the chicken until lightly golden
RCP00001,2,Add ginger and garlic and cook for 1 minute
RCP00001,3,"Add chopped tomatoes, salt, red chilli, cumin and coriander powder"
RCP00001,4,Cover and cook until the tomatoes become soft
RCP00001,5,Add yogurt and cook until the oil separates
RCP00001,6,Add green chillies and fresh coriander
RCP00001,7,Cook for another 3–4 minutes and serve hot
RCP00002,1,Heat oil and fry onion until golden
RCP00002,2,Add ginger-garlic paste and chicken
RCP00002,3,Cook until chicken changes color
RCP00002,4,"Add tomatoes, spices and salt"
RCP00002,5,Cook until tomatoes become soft
RCP00002,6,Add yogurt and cook until oil separates
RCP00002,7,Add cream and simmer for 5 minutes
RCP00002,8,Garnish with coriander and serve
RCP00003,1,Wash and soak rice for 30 minutes
RCP00003,2,Fry sliced onions until golden and reserve some for garnish
RCP00003,3,Add ginger-garlic paste and chicken
RCP00003,4,"Add tomatoes, yogurt, potato and biryani spices"
RCP00003,5,Cook until chicken is tender and oil separates
RCP00003,6,Boil rice separately until about 80% cooked
RCP00003,7,Layer rice over the chicken mixture
RCP00003,8,"Add mint, coriander and fried onions"
RCP00003,9,Cover and steam on low heat for 15–20 minutes
RCP00004,1,Fry onions until golden and grind them
RCP00004,2,Heat oil and cook ginger-garlic paste
RCP00004,3,Add chicken and fry until golden
RCP00004,4,Add spices and salt
RCP00004,5,Add yogurt gradually while stirring
RCP00004,6,Add fried onion paste and nut paste
RCP00004,7,Add water and simmer until chicken is tender
RCP00004,8,Finish with garam masala and serve
RCP00005,1,Cut chicken and vegetables into strips
RCP00005,2,Heat oil and cook chicken with ginger-garlic paste
RCP00005,3,Add tomato and spices
RCP00005,4,"Add onion, capsicum and carrot"
RCP00005,5,Stir-fry on high heat
RCP00005,6,Add soy sauce and black pepper
RCP00005,7,Cook for 3–4 minutes while keeping vegetables slightly crunchy
RCP00005,8,Serve hot
RCP00006,1,Cook chicken with ginger-garlic paste until lightly browned
RCP00006,2,Add tomato puree and spices
RCP00006,3,Cook until the tomato sauce thickens
RCP00006,4,Add yogurt and mix well
RCP00006,5,Add butter and simmer
RCP00006,6,Add cream and sugar
RCP00006,7,Cook for another 5 minutes
RCP00006,8,Garnish with cream and coriander
RCP00007,1,Blanch spinach and blend into a smooth puree
RCP00007,2,Heat oil and fry onion
RCP00007,3,Add ginger-garlic paste and chicken
RCP00007,4,Add tomato and spices
RCP00007,5,Cook until chicken is tender
RCP00007,6,Add spinach puree
RCP00007,7,Simmer for 10 minutes
RCP00007,8,Add green chilli and serve
RCP00008,1,"Mix yogurt, lemon juice, ginger-garlic paste and spices"
RCP00008,2,Marinate chicken for at least 2 hours
RCP00008,3,Thread chicken onto skewers
RCP00008,4,Grill or bake until completely cooked
RCP00008,5,Brush with oil during grilling
RCP00008,6,Serve with mint chutney and salad
RCP00009,1,Fry onion until golden
RCP00009,2,Add whole spices and ginger-garlic paste
RCP00009,3,Add chicken and fry
RCP00009,4,Add yogurt and salt
RCP00009,5,Add water and cook chicken
RCP00009,6,Add soaked rice
RCP00009,7,Cook until water is absorbed
RCP00009,8,Cover and steam for 15 minutes
RCP00010,1,"Boil chicken with whole spices, ginger and garlic"
RCP00010,2,Strain and reserve the yakhni
