recipe_id,recipe_name,primary_ingredient,recipe_keywords,combination
RCP00001,Chicken Karahi,Chicken,"chicken, cooking oil, garlic, ginger, tomatoes, yogurt, green chilli, spices","naan, roti, raita, salad"
RCP00002,Chicken Handi,Chicken,"chicken, cooking oil, garlic, ginger, onion, tomatoes, yogurt, cream, spices","naan, roti, salad, raita"
RCP00003,Chicken Biryani,Rice,"rice, chicken, cooking oil, garlic, ginger, onion, spices, tomatoes, yogurt","raita, kachumber, salad"
RCP00004,Chicken Qorma,Chicken,"chicken, cooking oil, onion, garlic, ginger, yogurt, almonds, cashews, spices","naan, roti, rice, salad"
RCP00005,Chicken Jalfrezi,Chicken,"chicken, cooking oil, capsicum, tomatoes, onion, carrot, garlic, ginger, spices, soy sauce","naan, roti, rice, salad"
RCP00006,Chicken Makhni,Chicken,"chicken, tomatoes, butter, cream, yogurt, garlic, ginger, spices","naan, roti, rice, salad"
RCP00007,Chicken Palak,Chicken,"chicken, spinach, cooking oil, onion, tomatoes, garlic, ginger, green chilli, spices","naan, roti, rice, raita"
RCP00008,Chicken Tikka,Chicken,"chicken, yogurt, lemon, garlic, ginger, tikka masala, spices, cooking oil","naan, mint chutney, salad, raita"
RCP00009,Chicken Pulao,Rice,"basmati rice, chicken, cooking oil, onion, yogurt, garlic, ginger, cumin, black pepper, spices","raita, salad, chutney"
RCP00010,Yakhni Pulao,Rice,"rice, chicken, onion, garlic, ginger, cumin, cinnamon, cardamom, black pepper, spices","raita, salad, chutney"
RCP00011,Vegetable Pulao,Rice,"rice, carrot, potato, corn, peas, onion, cumin, whole spices, cooking oil","raita, salad, chutney"
RCP00012,Sindhi Biryani,Rice,"rice, chicken, potato, tomatoes, yogurt, onion, spices, green chilli, garlic, ginger","raita, kachumber, salad"
RCP00013,Zeera Rice,Rice,"basmati rice, cumin seeds, butter, cooking oil, salt","curry, raita, salad"
RCP00014,Masala Rice,Rice,"rice, tomatoes, onion, carrot, capsicum, corn, spices, cooking oil","raita, salad, yogurt"
RCP00015,Bhindi Masala,Okra,"bhindi, tomatoes, onion, garlic, ginger, cooking oil, spices","roti, naan, raita"
RCP00016,Bhindi Do Pyaza,Okra,"bhindi, onion, tomatoes, yogurt, garlic, ginger, cumin, spices, cooking oil","roti, naan, raita"
RCP00017,Crispy Bhindi,Okra,"bhindi, gram flour, rice flour, red chilli, turmeric, chaat masala","chutney, raita, salad"
RCP00018,Aloo Gobi,Potato,"potato, cauliflower, tomatoes, onion, garlic, ginger, turmeric, red chilli, coriander","roti, naan, raita"
RCP00019,Mix Vegetable,"Cauliflower, Cabbage","Mixed Vegetables carrot, potato, cauliflower, corn, peas, capsicum,","roti, naan, raita"
RCP00020,Aloo Shimla Mirch,Potato,"potato, capsicum, onion, tomatoes, cumin, red chilli, turmeric, cooking oil","roti, naan, raita"
RCP00021, Gajar Matar,Carrot,"carrot, peas, onion, tomatoes, garlic, ginger, red chilli, turmeric, cooking oil","roti, naan, raita"
RCP00022,Vegetable Handi,"Cauliflower, Cabbage","Mixed Vegetables carrot, potato, capsicum, cauliflower, corn, yogurt, cream, tomatoes, spices","naan, roti, raita, salad"
RCP00023,Daal Chana,Lentils,"chana daal, onion, tomatoes, garlic, ginger, cumin, turmeric, red chilli, cooking oil","roti, naan, rice, salad"
RCP00024,. Daal Mash,Lentils,"mash daal, tomatoes, onion, garlic, ginger, cumin, turmeric, red chilli, cooking oil","roti, naan, rice, salad"
RCP00025,Daal Moong,Lentils,"moong daal, tomatoes, onion, garlic, ginger, cumin, turmeric, red chilli, cooking oi","roti, naan, rice, salad"
RCP00026,Daal Tadka,Lentils,"mixed daal, tomatoes, onion, garlic, cumin, red chilli, butter, cooking oil, spices","roti, naan, rice, salad"
RCP00027,Daal Palak,Lentils,"moong daal, spinach, tomatoes, onion, garlic, ginger, turmeric, red chilli, cooking oil","roti, naan, rice, raita"
RCP00028,Chana Masala,Chickpeas,"chickpeas, tomatoes, onion, garlic, ginger, chana masala, red chilli, cooking oil","naan, roti, rice, salad"
RCP00029,. Aloo Chana,Chickpeas,"chickpeas, potato, tomatoes, onion, garlic, ginger, red chilli, turmeric, cooking oi","naan, roti, raita, salad"
RCP00030,Chana Pulao,Rice,"rice, chickpeas, onion, cumin, cinnamon, cardamom, garlic, ginger, cooking oil","raita, salad, chutney"
RCP00031,Chana Curry,Chickpeas,"chickpeas, yogurt, tomatoes, onion, garlic, ginger, red chilli, coriander, cooking oil","naan, roti, rice, salad"
RCP00032,Anda Curry,Egg,"eggs, tomatoes, onion, garlic, ginger, red chilli, turmeric, coriander, cooking oil","roti, naan, paratha, salad"
RCP00033,Anda Masala,Egg,"eggs, onion, tomatoes, capsicum, green chilli, red chilli, black pepper, cooking oi","paratha, roti, bread, salad"
RCP00034,Pakistani Omelette,Egg,"eggs, onion, tomatoes, green chilli, coriander, black pepper, cooking oil","paratha, bread, tea"
RCP00035,Shakshuka,Egg,"eggs, tomatoes, onion, capsicum, garlic, cumin, red chilli, black pepper, cooking oil","bread, naan, paratha, salad"
RCP00036,Aloo Zeera,Potato,"potato, cumin, green chilli, red chilli, turmeric, coriander, cooking","roti, naan, raita"
RCP00037,Aloo Masala,Potato,"potato, tomatoes, onion, garlic, ginger, red chilli, turmeric, coriander, cooking oil","roti, naan, raita"
RCP00038,Aloo Palak,Potato,"potato, spinach, tomatoes, onion, garlic, ginger, red chilli, turmeric, cooking oil","roti, naan, raita"
RCP00039,Crispy Masala Potatoes,Potato,"potato, corn flour, red chilli, black pepper, chaat masala, cooking oil","ketchup, chutney, raita"
RCP00040,Corn Masala,Corn,"corn, tomatoes, onion, capsicum, garlic, ginger, red chilli, garam masala, cooking oil","roti, naan, salad, raita"
RCP00041,Corn Pulao,Rice," rice, corn, onion, cumin, green chilli, cinnamon, cooking oil","raita, salad, chutney"
RCP00042,Creamy Corn Curry,Corn,"corn, cream, yogurt, onion, tomato, garlic, ginger, black pepper, garam masala, butter","naan, roti, rice, salad"
RCP00043,Dahi Chicken,Chicken,"chicken, yogurt, onion, garlic, ginger, red chilli, coriander, garam masala, cooking oil","naan, roti, rice, salad"
RCP00044,Dahi Aloo,Potato,"potato, yogurt, tomato, cumin, red chilli, turmeric, green chilli, cooking oil","roti, naan, rice, salad"
RCP00045,Dahi Kadhi,Yogurt,"yogurt, gram flour, onion, tomato, turmeric, red chilli, cumin, cooking oil","rice, roti, papad, salad"
RCP00046,Palak Chicken,Chicken,"chicken, spinach, tomatoes, onion, garlic, ginger, green chilli, red chilli, cooking oil","naan, roti, rice, raita"
RCP00047,Palak Paneer,Spinach,"spinach, paneer, tomatoes, onion, garlic, ginger, green chilli, cream, cooking oil","naan, roti, rice, salad"
RCP00048,Palak Daal,Lentils,"moong daal, spinach, tomatoes, onion, garlic, turmeric, red chilli, cooking oil","roti, naan, rice, raita"
RCP00049,Aloo Paratha,Potato,"wheat flour, potato, green chilli, coriander, red chilli, cumin, cooking oil, ghee yogurt,","raita, pickle, tea"
RCP00050,Chicken Paratha,Chicken,"wheat flour, chicken, onion, green chilli, coriander, black pepper, cooking oil","raita, chutney, pickle, tea"
RCP00051,Gajar Matar,Carrot," carrot, peas, onion, tomatoes, garlic, ginger, red chilli, turmeric, cooking oil","roti, naan, raita"
RCP00052,Gajar Ki Sabzi,Carrot,"carrot, onion, tomatoes, cumin, red chilli, turmeric, coriander, cooking oil","roti, naan, raita"
RCP00053,Chicken Corn Soup,Chicken,"chicken, corn, egg, chicken stock, corn flour, soy sauce, vinegar, black pepper","bread, crackers, salad"
RCP00054,Hot and Sour Soup,Chicken,"chicken, carrot, corn, cabbage, chicken stock, soy sauce, vinegar, chilli sauce, corn flour","spring rolls, bread, salad"
